"state","statecode","year","consumption","price","eprice","oprice","lprice","pleasure","income"
"NY","35","1967","313656","142","298","74","147","Yes","1090375"
"NY","35","1968","319282","138","291","777","142","Yes","1137002"
"NY","35","1969","331326","137","284","796","138","Yes","1157868"
"NY","35","1970","346533","14","287","833","137","Yes","1158677"
"NY","35","1971","352085","15","307","88","14","Yes","1165742"
"NY","35","1972","363412","162","326","885","15","Yes","118608"
"NY","35","1973","342608","174","351","1008","162","Yes","1194315"
"NY","35","1974","341032","2","466","1549","174","Yes","1195104"
"NY","35","1975","327384","254","513","1637","2","Yes","1165349"
"NY","35","1976","339949","287","537","173","254","Yes","1168996"
"NY","35","1977","325603","328","588","1963","287","Yes","1180646"
"NY","35","1978","330968","368","607","2103","328","Yes","1200186"
"NY","35","1979","313027","412","667","2988","368","Yes","1213459"
"NY","35","1980","333902","495","754","4124","412","Yes","1246671"
"NY","35","1981","336813","55","934","5173","495","Yes","1266478"
"NY","35","1982","343029","651","984","5062","55","Yes","1270117"
"NY","35","1983","321949","787","1038","4899","651","Yes","1300804"
"NY","35","1984","337253","764","1067","5044","787","Yes","1373973"
"NY","35","1985","320073","774","1086","4864","764","Yes","1413409"
"NY","35","1986","336712","746","1055","3978","774","Yes","1453471"
"NY","35","1987","334417","688","1052","3722","746","Yes","1504709"
"NY","35","1988","357260","65","1048","3769","688","Yes","1594692"
"NY","35","1989","364713","722","1078","4182","65","Yes","1642533"
"FL","10","1967","9430","226","216","686","221","Yes","814332"
"FL","10","1968","11318","259","209","68","226","Yes","865126"
"FL","10","1969","11636","248","203","704","259","Yes","911702"
"FL","10","1970","14702","251","198","728","248","Yes","941066"
"FL","10","1971","13242","254","202","804","251","Yes","954878"
"FL","10","1972","12837","266","212","81","254","Yes","995645"
"FL","10","1973","16295","27","222","897","266","Yes","1035419"
"FL","10","1974","14793","285","284","1445","27","Yes","102518"
"FL","10","1975","15209","274","341","1526","285","Yes","983575"
"FL","10","1976","16839","281","367","1695","274","Yes","994116"
"FL","10","1977","18220","353","387","1876","281","Yes","1021712"
"FL","10","1978","21619","354","407","2021","353","Yes","1073932"
"FL","10","1979","17518","37","45","2656","354","Yes","1099334"
"FL","10","1980","15134","48","547","4031","37","Yes","1135353"
"FL","10","1981","16357","531","682","5062","48","Yes","1155721"
"FL","10","1982","13622","659","7","4881","531","Yes","1131339"
"FL","10","1983","15372","685","738","4223","659","Yes","1163076"
"FL","10","1984","14866","718","815","406","685","Yes","1203463"
"FL","10","1985","13533","746","844","392","718","Yes","1248643"
"FL","10","1986","13860","72","798","4468","746","Yes","1271854"
"FL","10","1987","14566","748","769","3932","72","Yes","1305723"
"FL","10","1988","14891","749","779","4177","748","Yes","1339458"
"FL","10","1989","13089","806","774","3821","749","Yes","1375475"
"MI","23","1967","302472","98","232","658","98","Yes","960039"
"MI","23","1968","315694","98","227","676","98","Yes","1003459"
"MI","23","1969","333264","98","224","699","98","Yes","1026657"
"MI","23","1970","340033","101","227","716","98","No","98623"
"MI","23","1971","343773","106","232","757","101","No","1008284"
"MI","23","1972","355266","11","242","763","106","No","1057712"
"MI","23","1973","341607","118","254","821","11","No","1103217"
"MI","23","1974","346116","137","297","1375","118","No","108567"
"MI","23","1975","334866","162","354","1462","137","No","1044063"
"MI","23","1976","339417","19","389","1614","162","No","1106086"
"MI","23","1977","299199","222","421","1876","19","No","1163658"
"MI","23","1978","328260","231","456","201","222","No","1200236"
"MI","23","1979","369378","264","483","2977","231","No","1207369"
"MI","23","1980","387279","319","548","4107","264","No","1181882"
"MI","23","1981","361752","384","604","4969","319","No","1160845"
"MI","23","1982","358778","479","616","4782","384","No","1109951"
"MI","23","1983","340732","584","667","4648","479","No","113649"
"MI","23","1984","338996","597","696","4584","584","No","1204205"
"MI","23","1985","341026","629","738","4462","597","No","1254518"
"MI","23","1986","330240","574","756","3536","629","No","1292716"
"MI","23","1987","314293","546","731","3384","574","No","1300178"
"MI","23","1988","348512","534","729","3384","546","No","1329304"
"MI","23","1989","361667","519","753","3728","534","No","1359679"
"TX","44","1967","201407","87","219","501","85","No","793066"
"TX","44","1968","211763","87","215","524","87","No","824034"
"TX","44","1969","220728","9","209","543","87","No","851722"
"TX","44","1970","232189","92","205","571","9","No","86602"
